complaint,actual_category,predicted_category,correct,priority,matched_keywords
The overhead fan in room 204 makes a loud grinding noise,Infrastructure,Infrastructure,True,Medium,"{'category_keywords': ['fan'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
None of the charging points near the reading area work,Infrastructure,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The washroom on the second floor has had no water for two days,Infrastructure,Infrastructure,True,Medium,"{'category_keywords': ['water', 'washroom'], 'priority_keywords': [], 'location_confidence': 'partial', 'location_matched': ['washroom']}"
My laptop won't connect to the campus network even though it worked last week,Infrastructure,Infrastructure,True,High,"{'category_keywords': ['network'], 'priority_keywords': ['week'], 'location_confidence': 'none', 'location_matched': []}"
The whiteboard marker ink has completely dried out in every classroom,Infrastructure,Infrastructure,True,Medium,"{'category_keywords': ['whiteboard', 'marker'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The elevator in the main block has been stuck between floors twice this month,Infrastructure,Infrastructure,True,Medium,"{'category_keywords': ['elevator'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
There's a strong gas smell coming from behind the chemistry building,Infrastructure Hazard,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The handrail on the second-floor stairs wobbles when you hold it,Infrastructure Hazard,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
Someone left a frayed extension cord running across the hallway floor,Infrastructure Hazard,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The fire alarm panel has been beeping constantly for a week and nobody has checked it,Infrastructure Hazard,Other,False,Critical,"{'category_keywords': [], 'priority_keywords': ['fire'], 'location_confidence': 'none', 'location_matched': []}"
Part of the ceiling tile fell down near the entrance yesterday,Infrastructure Hazard,Infrastructure,False,Medium,"{'category_keywords': ['ceiling'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The pathway near the hostel gate has no streetlight at all after dark,Infrastructure Hazard,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'partial', 'location_matched': ['hostel']}"
I was never given access to the shared drive for my elective course,Academic,Academic,True,Medium,"{'category_keywords': ['course', 'access'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The syllabus posted online doesn't match what's being taught in class,Academic,Academic,True,Medium,"{'category_keywords': ['syllabus'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
My re-evaluation request from last semester still shows no update,Academic,Academic,True,Medium,"{'category_keywords': ['re-evaluation', 'semester'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
I can't find where to check my current attendance percentage,Academic,Academic,True,Medium,"{'category_keywords': ['attendance'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
